id,question,truth,greedy_text,greedy,sampled_texts,sampled_answers,majority,greedy_correct,majority_correct
1,"If Lina has 5 apples and buys 7 more, how many does she have?",12,"After buying 7 apples, Lina has 5 + 7 = 12 apples. The final answer: 12.",12.,"['She bought 7 more apples, so she now has 5 + 7 = 12 apples. The final answer: 12.', 'She buys 7 more apples, so she has 5 + 7 = 12 apples. The final answer: 12.', 'Lina has 5 + 7 = 12 apples. The final answer: 12.', 'Lina has 5 + 7 = 12 apples. The final answer: 12.', 'She buys 7 more apples, so she has 5 + 7 = 12 apples. The final answer: 12.']","['12.', '12.', '12.', '12.', '12.']",12.,True,True
2,A train travels 40 km in 2 hours. What is its speed in km/h?,20,The train travels at a speed of 40 km / 2 hours = 20 km / h. The final answer: 20.,20.,"['Let the time be x. Then 40 / 2 = 20 km / h. 20 / 2 = 10 km / h. The final numeric answer: 10.', 'The train travels 40 km / 2 hours = 20 km / h. The final answer: 20.', 'The train travels 40 km / 2 hours = 20 km / h. The final answer: 20.', 'The train travels 40 km / 2 hours = 20 km / h. The final answer: 20.', 'The train travels at a speed of 40 km / 2 hours = 20 km / h. The final answer: 20.']","['10.0', '20.', '20.', '20.', '20.']",20.,True,True
3,What is 15 × 6?,90,15  6 is 15 / 6 = 3. The final numeric answer: 3.,2.5,"['15  6 = 15 / 6 = 3 / 2. The final numeric answer: 3.', '15  6 is 15 / 6 = 3  6 = 3  3. The final numeric answer: 3.', '15  6 = 15 / 6 = 3 / 2. The final numeric answer: 3.', '15  6 is 15 / 6 = 3 / 2. The final numeric answer: 3.', '15  6 = 15 / 6 = 3. The final numeric answer: 3.']","['1.5', '2.5', '1.5', '1.5', '2.5']",1.5,False,False
4,"If x + 3 = 10, what is x?",7,Let x be the number. We know that x + 3 = 10. Subtracting 3 from both sides we get x = 7. The final numeric answer: 7.,7.,"['Let x be the number. 3 is the number that is not a multiple of 3. 3 / 2 = 2 / 3. 3 / 2 + 3 = 5 / 2. 5 / 2 = 3 / 2. 3 / 2 = 1 / 2. 3 / 2 = 3 / 2. The final numeric answer: 3.', 'Let x be the number. 3 is the only number that is a multiple of 3. x + 3 = 10 - 3 = 7. The final numeric answer: 7.', 'Let x be the number. 3 is the only number that is not a multiple of 3. So 3 is the only multiple of 3. x = 3 / 2. x + 3 = 10. The final numeric answer: 3.', 'Let x be the number. 3 is the only number that is not a multiple of 3. So, x = 3 / 2 + 3 = 2. The final numeric answer: 2.', 'Let x be the number. Then 3 is the number that is 3 fewer than x. So 3 - 3 = 4 - 3 = 3 - 2 = 1 - 2 = 3 - 1 = 2 - 2 = 3 - 1 = 1 - 2 = 3 - 1 = 3 - 2 = 2 - 1. The final numeric answer: 3.']","['1.5', '7', '1.5', '1.5', '1']",1.5,True,False
5,What is 144 ÷ 12?,12,"To answer the question, we should know that: 144  12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144 ",1.0,"['To answer the question, we should know that: 12  144 = 144  12. Therefore, the final numeric answer is 144  12.', 'The number of terms of the equation 144  12 is 144  12  12 = 144  12  12 = 144  12  12 = 144  12  12 = 144  12  12 = 144  12  12 = 144  12  12 = 144  12  12 = 144  12  12 = 144  12 ', 'To answer this question, we should know that: 144  12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144  12 / 12 = 144 ', 'The number of digits in 144 is 12  12 = 144. The final answer: 144.', 'The number of times the number 12 is repeated is 12 * 144 = 1224. The final numeric answer: 1224.']","['12.', '12', '1.0', '144.', '1728']",12.,False,True
6,"If a rectangle has sides 4 and 9, what is its area?",36,The length of one side of the rectangle is 4 + 9 = 13. The length of the other side of the rectangle is 9 + 4 = 15. The area of the rectangle is 15 * 4 = 54 square feet. The final numeric answer: 54.,60,"['Since the rectangle has sides 4 and 9, its area is 4 * 9 = 54 square feet. The final numeric answer: 54.', 'The length of one side of the rectangle is 4 + 9 = 13. The length of the other side of the rectangle is 9 + 4 = 13. The area of the rectangle is 13 * 4 = 54 square feet. The final numeric answer: 54.', 'The rectangle has an area of 4 * 9 = 42 square feet. The final answer: 42.', 'The length of the rectangle is 4 + 9 = 15 inches. The area of the rectangle is 15 x 9 = 240 square inches. The final numeric answer: 240.', 'The length of one side of the rectangle is 4 + 9 = 15. The length of the other side of the rectangle is 9 + 4 = 15. The area of the rectangle is 15 * 4 = 60. The final numeric answer: 60.']","['36', '52', '42.', '13', '60']",36,False,True
7,Add 123 and 456.,579,512,512,"['501', '514', '570', '501', '470']","['501', '514', '570', '501', '470']",501,False,False
8,What is 2 to the power 8?,256,2 to the power of 8 is 2 * 8 = 32. The final numeric answer: 32.,16,"['2 to the power of 8 is 2 * 8 = 32. The final numeric answer: 32.', '2 to the power of 8 is 2 * 8 = 32. The final numeric answer: 32.', '2 is a multiple of 8. 28 = 28. The final numeric answer: 2.', '2 to the power of 8 is 2 * 8 = 32. The final numeric answer: 32.', '2 to the power of 8 is 2 * 8 = 32. The final numeric answer: 32.']","['16', '16', '2.', '16', '16']",16,False,False
9,"If a = 3 and b = 4, what is a^2 + b^2?",25,"If a = 3 and b = 4, then a2 + b2 = 3 + 4 = 9. The final numeric answer: 9.",7,"['Let a2 + b2 be the squares of the two numbers. Then 32 + 42 = 13. The final answer: 13.', 'Let a = 3 and b = 4. Plugging these into the answer choices, we get 3 + 4 = 9. Combining like terms, we get 2 * 9 = 18. Plugging that into the answer choices, we get 3 * 18 = 54. The final numeric answer: 54.', 'The product of a and b is 3 + 4. The product of a2 + b2 is 3 * 4 = 12. The final numeric answer: 12.', 'A2 + b2 = 3 + 4. A2 + b2 = 3 + 4. The final numeric answer: 3.', 'If a = 3 and b = 4, then a2 + b2 = 3 + 4 = 9. The final numeric answer: 9.']","['13.', '54', '12', '7', '7']",7,False,False
10,What is (7 × 8) - 10?,46,(7  8) - 10 is (7  8) - 10. The final numeric answer: 7.,7.,"['The square root of 7 is 8. The square root of 8 is 4. 7  8 - 10 = 4. The final numeric answer: 4.', '7  8 = 7  8. 10  8 = 10. The final numeric answer: 10.', 'The square of the number 7 is 8  8. The square of the number 8 is 8  8. 7  8 - 10 = 7  8 - 10. The final numeric answer: 7.', 'The total number of digits in the answer is 7. The total number of digits in the answer is 8. The final numeric answer: 8.', 'The square root of 7 is 8. The square root of 8 is 4. 7  8 - 10 = 4. The final numeric answer: 4.']","['-2', '10.', '-2', '8.', '-2']",-2,False,False
